質問ID,質問,想定回答,正解案件ID,分類,Graphが必要か,検索計画,評価区分
Q14,データ基盤と MLOps は、この案件群でどう重なっている？,DE案件とMLOps案件の重なり（特徴量、学習データ、品質）をまとめる。片方の列挙だけは不合格,"P006, P011, P019, P022, P027",全体像,必要,Q14,development
Q15,インフラ寄りの ML 案件には、どんな共通点がある？,k8s / GPU / 推論基盤 / 監視などの共通パターン。インフラ案件全体の雑な要約は不合格,"P004, P013, P015, P018, P020, P021",全体像,必要,Q15,development
Q16,アプリ開発と MLOps が交差している領域には何がある？,推論API、ML機能のプロダクト実装、基盤のAPI化など。アプリ案件とML案件を別々に並べるだけは不合格,"P008, P024",全体像,必要,Q16,development
Q17,量子コンピュータの案件はある？,該当なし。MLの「量子」っぽい誤ヒットをしない,,該当なし,不要寄り,Q17,development
Q18,Unity でゲームクライアントを書く案件は？,該当なし。シミュレーションや可視化をゲームと誤らない,,該当なし,不要寄り,Q18,development
Q19,組み込みファームウェアの案件は？,該当なし。エッジ推論の案件をファームウェアと誤らない。P016を出したら不合格,,該当なし,ややGraph,Q19,development
Q20,スマートコントラクト専門の案件は？,該当なし。P017をスマートコントラクト専門として出したら不合格,,該当なし,不要寄り,Q20,development
Q21,BI業務に関わる案件はどれ？,業務として「分析・BI」やダッシュボード構築を含む案件。単なるログ収集やETLは除外。,"P012,P025",事実引き,不要,Q21,holdout
Q22,ソフトウェアエンジニアとして専門性を伸ばせる案件はどれ？,想定職種が「ソフトウェアエンジニア」の行。インフラエンジニアやデータエンジニアの案件は含めない。,"P008,P009,P024",事実引き,不要,Q22,holdout
Q23,AWSに関われる案件はどれ？,クラウド列または必要スキルに「AWS」が含まれる案件。GCPやAzureの案件は除外。,"P001,P002,P003,P004,P005,P007,P008,P010,P012,P013,P016,P017,P018,P019,P020,P021,P023,P025,P027",事実引き,不要,Q23,holdout
Q24,GCP環境で、かつKubernetesを利用するインフラ案件はどれ？,クラウドがGCP、かつスキルにKubernetes(GKE)を含むインフラエンジニア案件。AWSのEKS案件などは除外。,P015,横断,半々,Q24,holdout
Q25,小売ドメインで、かつ監視系ツールを使う案件は？,ドメインが小売で、かつCloudWatch、Prometheus、Datadogなどの監視ツールを含む案件。片方のみの一致は除外。,"P002, P020",横断,半々,Q25,holdout
Q26,AWS環境でAirflowを利用する案件は？,クラウドがAWS、かつスキルにAirflowを含む案件。GCP環境の案件は除外。,"P003, P010, P019, P027",横断,半々,Q26,holdout
Q27,今Web開発をしているが機械学習を使った案件に移っていける案件はあるか？,推論APIの実装やWebアプリへのML組み込みなど、ソフトウェアエンジニアからML領域へ接続する案件。純粋なMLOpsやインフラ構築は除外。,"P008,P024",周辺,必要,Q27,holdout
Q28,インフラエンジニアとして、単なるWebインフラではなく、GPUやKubernetesを使ったML学習基盤の構築に関われる案件は？,インフラエンジニア職種で、GPUクラスタや学習ジョブの基盤構築（Kubernetes等）を行う案件。通常のWebサイトインフラ運用は除外。,"P013, P018, P021",周辺,必要,Q28,holdout
Q29,エッジデバイス（Jetsonなど）でのML推論やモデル最適化など、ハードウェア寄りのMLOpsに携われる案件は？,JetsonやTensorRTなどエッジ推論・ハードウェア最適化を含む案件。クラウド上での一般的な推論API構築は除外。,P016,周辺,必要,Q29,holdout
Q30,データエンジニアの経験を活かし、単なる集計ではなく特徴量ストアやデータ品質管理などMLシステムに直接繋がる業務へステップアップできる案件は？,データエンジニア職種で、特徴量パイプラインや学習データ品質監視などMLOpsに直結する業務。単なるDWH構築やBI用途のETLは除外。,"P006, P011, P019, P022, P027",周辺,必要,Q30,holdout
Q31,MLOps領域で、推論環境の運用だけでなく、モデルの学習パイプライン構築や実験管理ツールの導入に関われる案件は？,MLflowやSageMaker Pipeline等を用いた学習パイプライン・実験管理を含む案件。推論監視のみの案件は除外。,"P001, P003, P014, P023",周辺,必要,Q31,holdout
Q32,Pandasなどのデータ集計スキルが求められる案件群では、他にどのようなツールが一緒に使われる傾向がありますか？,Pandasを使用する案件に共通するAWSやSQL、BIツール（Tableau等）の利用傾向をまとめる。単なる案件の個別列挙は不合格。,"P012,P027",全体像,必要,Q32,holdout
Q33,当社の金融ドメインのデータ・ML系案件全体を見ると、技術スタックや業務内容にどのような共通した傾向がありますか？,金融系データ/ML案件の共通点（AWSの利用、Python/SQL、与信や不正検知などの運用要件）を述べる。個別案件の列挙だけは不合格。,"P003, P012, P017, P019, P027",全体像,必要,Q33,holdout
Q34,GCPを利用している案件群全体を見ると、マネージドサービスはどのように連携して使われる傾向がありますか？,GCP案件におけるデータパイプライン（BigQuery）から機械学習（Vertex AI）やGKEへの連携傾向をまとめる。個別のツールを羅列するだけは不合格。,"P006, P011, P015, P022, P024, P028",全体像,必要,Q34,holdout
Q35,データアナリストに関する案件はどれ？,該当なし,,該当なし,不要,Q35,holdout
Q36,AIエージェントを作る案件は？,該当なし,,該当なし,不要,Q36,holdout
Q37,コンサルとして専門性を上げる案件はどれ？,該当なし,,該当なし,不要,Q37,holdout
