案件ID,案件名,想定職種,ドメイン,クラウド,案件概要,必要スキル
P017,決済ログを使った不正検知モデル運用,MLOps,金融,AWS,カード決済と一部の分散台帳上の取引ログを入力に不正検知モデルを運用する。コントラクト開発やチェーン基盤の構築は範囲外。,Python / scikit-learn / Kafka / AWS
P018,学習からデプロイまでのGitOps化,インフラエンジニア,広告,AWS,学習からデプロイまでのパイプラインをGitOpsで回す。クラスタとCIが主だが成果物はモデルである。,Kubernetes / Argo CD / Terraform / GitHub Actions / AWS
P019,与信学習データの品質監視,データエンジニア,金融,AWS,与信学習に使う入力の欠損・偏り・遅延を検知する。特徴量品質がモデル性能に直結するため学習チームと連携する。DWHの箱作りではない。,Python / Great Expectations / Airflow / SQL / AWS
P020,推論エンドポイントの監視設計,インフラエンジニア,小売,AWS,オンライン推論のレイテンシとエラー率をDatadogで見る。通常のWeb監視ではなくモデルエンドポイント単位の設計である。,Datadog / Kubernetes / AWS / Terraform
P021,再学習用GPUクラスタのIaC,インフラエンジニア,製造,AWS,外観検査の再学習用にGPUノードをTerraformで払い出す。学習ジョブの中身は触らないがMLチームが使う基盤である。,Terraform / AWS / GPU / Kubernetes
P022,オンラインオフライン共用の特徴量ストア,データエンジニア,広告,GCP,学習と推論で同じ特徴量を使うため特徴量ストアを入れる。オンライン・オフライン両方の入力になる。,Python / Feast / BigQuery / GCP / Redis
P023,需要予測のSageMaker再学習運用,MLOps,物流,AWS,需要予測の再学習をSageMaker Pipelineで定期実行し承認後に本番へ出す。アプリ画面の改修は含まない。,Python / SageMaker / AWS / scikit-learn
P024,会員アプリへの推薦API組み込み,ソフトウェアエンジニア,メディア,GCP,既存アプリから推薦モデルの推論APIを呼び画面に出す。クライアント実装・キャッシュ・フォールバックが主である。,TypeScript / Next.js / REST API / GCP
P025,アプリログのKPI集計ETL,データエンジニア,エンタメ,AWS,クリックログをS3経由で分析用テーブルへ載せる。目的はKPI集計であり学習用途ではない。,Python / Spark / S3 / AWS / SQL
P026,画像モデルのAzure ML運用,MLOps,ヘルスケア,Azure,画像モデルの登録・ステージング・本番切替をAzure MLで運用する。,Python / Azure ML / Docker
P027,与信モデル向け特徴量設計,データエンジニア,金融,AWS,取引と属性から与信用特徴量を設計し学習テーブルを供給する。Pythonで前処理しモデルのデプロイはしない。,Python / SQL / Airflow / AWS / pandas
P028,クリック予測の配信と監視の一体運用,MLOps,広告,GCP,クリック予測をGKEでオンライン配信し同じチームで特徴量遅延と推論ドリフトも見る。データパイプラインの一部とモデル監視が同一案件である。,Python / Kubernetes / Vertex AI / Prometheus / GCP / Dataflow
