案件ID,ノードID
P012,N_SKILL_AWS
P012,N_SKILL_SQL
P013,N_JOB_INFRA
P013,N_WORK_TRAIN_INFRA
P013,N_SKILL_K8S
P013,N_SKILL_ARGO_WF
P013,N_SKILL_AWS
P013,N_SKILL_DOCKER
P014,N_JOB_MLOPS
P014,N_WORK_EXPERIMENT
P014,N_SKILL_PYTHON
P014,N_SKILL_MLFLOW
P014,N_SKILL_AZUREML
P015,N_JOB_INFRA
P015,N_WORK_SERVING
P015,N_SKILL_K8S
P015,N_SKILL_GKE
P015,N_SKILL_GPU
P015,N_SKILL_TERRAFORM
P015,N_SKILL_GCP
P016,N_JOB_MLOPS
P016,N_WORK_SERVING
P016,N_SKILL_PYTHON
P016,N_SKILL_TENSORRT
P016,N_SKILL_AWS
P016,N_SKILL_DOCKER
P016,N_SKILL_JETSON
P017,N_JOB_MLOPS
P017,N_WORK_TRAIN
P017,N_SKILL_PYTHON
P017,N_SKILL_SKLEARN
P017,N_SKILL_KAFKA
P017,N_SKILL_AWS
P018,N_JOB_INFRA
P018,N_WORK_TRAIN_INFRA
P018,N_SKILL_K8S
P018,N_SKILL_ARGOCD
P018,N_SKILL_TERRAFORM
P018,N_SKILL_GHA
P018,N_SKILL_AWS
P019,N_JOB_DE
P019,N_WORK_QUALITY
P019,N_SKILL_PYTHON
P019,N_SKILL_GE
P019,N_SKILL_AIRFLOW
P019,N_SKILL_SQL
P019,N_SKILL_AWS
P020,N_JOB_INFRA
P020,N_WORK_MONITOR
P020,N_SKILL_DATADOG
P020,N_SKILL_K8S
P020,N_SKILL_AWS
P020,N_SKILL_TERRAFORM
P021,N_JOB_INFRA
P021,N_WORK_TRAIN_INFRA
P021,N_SKILL_TERRAFORM
P021,N_SKILL_AWS
P021,N_SKILL_GPU
P021,N_SKILL_K8S
P022,N_JOB_DE
P022,N_WORK_FEATURE
P022,N_SKILL_PYTHON
P022,N_SKILL_FEAST
P022,N_SKILL_BIGQUERY
P022,N_SKILL_GCP
P022,N_SKILL_REDIS
P023,N_JOB_MLOPS
P023,N_WORK_TRAIN
P023,N_SKILL_PYTHON
P023,N_SKILL_SAGEMAKER
P023,N_SKILL_AWS
P023,N_SKILL_SKLEARN
P024,N_JOB_SWE
P024,N_WORK_INFER_API
P024,N_SKILL_TS
P024,N_SKILL_NEXT
P024,N_SKILL_REST
P024,N_SKILL_GCP
P025,N_JOB_DE
P025,N_WORK_BI
P025,N_SKILL_PYTHON
P025,N_SKILL_SPARK
P025,N_SKILL_S3
P025,N_SKILL_AWS
P025,N_SKILL_SQL
P026,N_JOB_MLOPS
P026,N_WORK_TRAIN
P026,N_SKILL_PYTHON
P026,N_SKILL_AZUREML
P026,N_SKILL_DOCKER
P027,N_JOB_DE
P027,N_WORK_FEATURE
P027,N_SKILL_PYTHON
P027,N_SKILL_SQL
P027,N_SKILL_AIRFLOW
P027,N_SKILL_AWS
P027,N_SKILL_PANDAS
P028,N_JOB_MLOPS
P028,N_WORK_SERVING
P028,N_WORK_MONITOR
P028,N_WORK_FEATURE
P028,N_SKILL_PYTHON
P028,N_SKILL_K8S
P028,N_SKILL_VERTEX
P028,N_SKILL_PROMETHEUS
P028,N_SKILL_GCP
P028,N_SKILL_DATAFLOW
